country,iso3,date,Year,Month,cases,source
Bangladesh,BGD,2025-12-01T00:00:00Z,2025,12,0,SEARO
Barbados,BRB,2024-01-01T00:00:00Z,2024,1,373,PAHO
Barbados,BRB,2024-02-01T00:00:00Z,2024,2,386,PAHO
Barbados,BRB,2024-03-01T00:00:00Z,2024,3,214,PAHO
Barbados,BRB,2024-04-01T00:00:00Z,2024,4,51,PAHO
Barbados,BRB,2024-05-01T00:00:00Z,2024,5,15,PAHO
Barbados,BRB,2024-06-01T00:00:00Z,2024,6,5,PAHO
Barbados,BRB,2024-07-01T00:00:00Z,2024,7,11,PAHO
Barbados,BRB,2024-08-01T00:00:00Z,2024,8,19,PAHO
Barbados,BRB,2024-09-01T00:00:00Z,2024,9,15,PAHO
Barbados,BRB,2024-10-01T00:00:00Z,2024,10,17,PAHO
Barbados,BRB,2024-11-01T00:00:00Z,2024,11,11,PAHO
Barbados,BRB,2024-12-01T00:00:00Z,2024,12,1286,PAHO
Barbados,BRB,2025-01-01T00:00:00Z,2025,1,78,PAHO
Barbados,BRB,2025-02-01T00:00:00Z,2025,2,16,PAHO
Barbados,BRB,2025-03-01T00:00:00Z,2025,3,11,PAHO
Barbados,BRB,2025-04-01T00:00:00Z,2025,4,16,PAHO
Barbados,BRB,2025-05-01T00:00:00Z,2025,5,8,PAHO
Barbados,BRB,2025-06-01T00:00:00Z,2025,6,1,PAHO
Barbados,BRB,2025-07-01T00:00:00Z,2025,7,NA,WHO
Belarus,BLR,2024-01-01T00:00:00Z,2024,1,0,WHO
Belarus,BLR,2024-02-01T00:00:00Z,2024,2,0,WHO
Belarus,BLR,2024-03-01T00:00:00Z,2024,3,0,WHO
Belarus,BLR,2024-04-01T00:00:00Z,2024,4,0,WHO
Belarus,BLR,2024-05-01T00:00:00Z,2024,5,0,WHO
Belarus,BLR,2024-06-01T00:00:00Z,2024,6,0,WHO
Belarus,BLR,2024-07-01T00:00:00Z,2024,7,0,WHO
Belarus,BLR,2024-08-01T00:00:00Z,2024,8,0,WHO
Belarus,BLR,2024-09-01T00:00:00Z,2024,9,0,WHO
Belarus,BLR,2024-10-01T00:00:00Z,2024,10,0,WHO
Belarus,BLR,2024-11-01T00:00:00Z,2024,11,0,WHO
Belarus,BLR,2024-12-01T00:00:00Z,2024,12,0,WHO
Belarus,BLR,2025-01-01T00:00:00Z,2025,1,0,WHO
Belarus,BLR,2025-02-01T00:00:00Z,2025,2,0,WHO
Belarus,BLR,2025-03-01T00:00:00Z,2025,3,0,WHO
Belarus,BLR,2025-04-01T00:00:00Z,2025,4,0,WHO
Belarus,BLR,2025-05-01T00:00:00Z,2025,5,0,WHO
Belarus,BLR,2025-06-01T00:00:00Z,2025,6,0,WHO
Belarus,BLR,2025-07-01T00:00:00Z,2025,7,0,WHO
Belgium,BEL,2024-01-01T00:00:00Z,2024,1,0,WHO
Belgium,BEL,2024-02-01T00:00:00Z,2024,2,0,WHO
Belgium,BEL,2024-03-01T00:00:00Z,2024,3,0,WHO
Belgium,BEL,2024-04-01T00:00:00Z,2024,4,0,WHO
Belgium,BEL,2024-05-01T00:00:00Z,2024,5,0,WHO
Belgium,BEL,2024-06-01T00:00:00Z,2024,6,0,WHO
Belgium,BEL,2024-07-01T00:00:00Z,2024,7,0,WHO
Belgium,BEL,2024-08-01T00:00:00Z,2024,8,0,WHO
Belgium,BEL,2024-09-01T00:00:00Z,2024,9,0,WHO
Belgium,BEL,2024-10-01T00:00:00Z,2024,10,0,WHO
Belgium,BEL,2024-11-01T00:00:00Z,2024,11,0,WHO
Belgium,BEL,2024-12-01T00:00:00Z,2024,12,0,WHO
Belgium,BEL,2025-01-01T00:00:00Z,2025,1,0,WHO
Belgium,BEL,2025-02-01T00:00:00Z,2025,2,0,WHO
Belgium,BEL,2025-03-01T00:00:00Z,2025,3,0,WHO
Belgium,BEL,2025-04-01T00:00:00Z,2025,4,0,WHO
Belgium,BEL,2025-05-01T00:00:00Z,2025,5,0,WHO
Belgium,BEL,2025-06-01T00:00:00Z,2025,6,0,WHO
Belgium,BEL,2025-07-01T00:00:00Z,2025,7,0,WHO
Belize,BLZ,2024-01-01T00:00:00Z,2024,1,73,PAHO
Belize,BLZ,2024-02-01T00:00:00Z,2024,2,72,PAHO
Belize,BLZ,2024-03-01T00:00:00Z,2024,3,39,PAHO
Belize,BLZ,2024-04-01T00:00:00Z,2024,4,53,PAHO
Belize,BLZ,2024-05-01T00:00:00Z,2024,5,66,PAHO
Belize,BLZ,2024-06-01T00:00:00Z,2024,6,71,PAHO
Belize,BLZ,2024-07-01T00:00:00Z,2024,7,147,PAHO
