window_type,origin_date,iso3,region,train_start,train_end,n_train_months,n_gap_in_window,n_targets_with_truth,eligible
expanding,2016-03-01,FJI,Pacific Islands,2010-11-01,2016-03-01,65,0,6,TRUE
expanding,2016-03-01,FSM,Pacific Islands,2016-04-01,2016-03-01,0,0,6,FALSE
expanding,2016-03-01,KIR,Pacific Islands,2011-04-01,2016-03-01,48,12,0,FALSE
expanding,2016-03-01,MHL,Pacific Islands,2011-06-01,2016-03-01,12,46,0,FALSE
expanding,2016-03-01,NCL,Pacific Islands,2011-09-01,2016-03-01,48,7,1,TRUE
expanding,2016-03-01,PLW,Pacific Islands,2010-04-01,2016-03-01,12,60,0,FALSE
expanding,2016-03-01,PYF,Pacific Islands,2010-05-01,2016-03-01,47,24,6,TRUE
expanding,2016-03-01,SLB,Pacific Islands,2013-04-01,2016-03-01,12,24,6,FALSE
expanding,2016-03-01,TON,Pacific Islands,2014-05-01,2016-03-01,12,11,0,FALSE
expanding,2016-03-01,TUV,Pacific Islands,2018-04-01,2016-03-01,0,0,0,FALSE
expanding,2016-03-01,VUT,Pacific Islands,2010-11-01,2016-03-01,12,53,0,FALSE
expanding,2016-03-01,WLF,Pacific Islands,2017-06-01,2016-03-01,0,0,0,FALSE
expanding,2016-03-01,WSM,Pacific Islands,2017-10-01,2016-03-01,0,0,0,FALSE
expanding,2016-04-01,BLZ,North & Central America,2010-03-01,2016-04-01,74,0,6,TRUE
expanding,2016-04-01,CRI,North & Central America,2010-03-01,2016-04-01,74,0,6,TRUE
expanding,2016-04-01,GTM,North & Central America,2010-02-01,2016-04-01,75,0,6,TRUE
