"","country","d","mean_ratio","mean_RMSE","rf"
"370","Ecuador",4,0.98326645781565,11809.4393370521,1.01701831894228
"371","Ecuador",5,0.99246899304266,11809.4393370521,1.00758815339334
"372","Ecuador",6,0.998022131118382,11809.4619895439,1.00198178859962
"373","Ecuador",7,1.00081973600599,11809.4619895439,0.999180935410748
"374","Ecuador",8,1.00269227765675,11795.492301904,0.997314951240033
"375","Ecuador",9,1.00461807991961,11825.3210644546,0.995403148707042
"376","Ecuador",10,1.00566743182634,11806.1306438432,0.994364506946351
"377","Ecuador",11,1.00634418324067,11786.1614158957,0.993695811685186
"378","Ecuador",12,1.00654118409446,11805.8576543369,0.99350132493551
"379","Ecuador",13,1.00663015605451,11788.3902155824,0.993413513379637
"380","Ecuador",14,1.00652845319319,11825.3210644546,0.993513891065398
"381","Ecuador",15,1.00634774203413,11801.080533156,0.993692297633317
"382","Ecuador",16,1.00611377387891,11775.2837357405,0.993923377218723
"383","Ecuador",17,1.00584292975887,11800.1331219494,0.994191011751439
"384","Ecuador",18,1.00546006501832,11776.8493253099,0.994569585398482
"385","Ecuador",19,1.00504794603444,11825.3210644546,0.994977407740238
"386","Ecuador",20,1.00462056898605,11792.4232005494,0.99540068247785
"387","Ecuador",21,1.00480943938837,11792.4232005494,0.995213580605597
"388","Ecuador",22,1.00341061485017,11789.6381459055,0.996600977905063
"389","Ecuador",23,1.0026031942245,11754.8167166077,0.997403564800617
"390","Ecuador",24,1.00145670120181,11825.3210644546,0.998545417689987
"391","Ecuador",25,1.00158753575017,11825.3210644546,0.998414980524913
"392","Ecuador",26,1.001784460282,11825.3210644546,0.998218718344369
"393","Ecuador",27,1.00216514858473,11611.2235531601,0.997839529155662
"394","Ecuador",28,NA,11049.7732381389,NA
"395","El Salvador",0,0.887487923706251,11786.1614158957,1.12677589552305
"396","El Salvador",1,0.921025317591703,11793.1542102812,1.08574648372837
"397","El Salvador",2,0.947540956157109,11809.4619895439,1.05536335237228
"398","El Salvador",3,0.978108270117743,11793.1542102812,1.02238170410278
"399","El Salvador",4,0.998007303396983,11809.4393370521,1.00199667537125
"400","El Salvador",5,1,11809.4393370521,1
"401","El Salvador",6,1,11809.4619895439,1
"402","El Salvador",7,1,11809.4619895439,1
"403","El Salvador",8,1,11795.492301904,1
"404","El Salvador",9,1,11825.3210644546,1
"405","El Salvador",10,1,11806.1306438432,1
"406","El Salvador",11,1,11786.1614158957,1
"407","El Salvador",12,1,11786.1614158957,1
"408","El Salvador",13,1,11801.080533156,1
"409","El Salvador",14,1,11788.3902155824,1
"410","El Salvador",15,1,11801.080533156,1
"411","El Salvador",16,1,11801.080533156,1
"412","El Salvador",17,1,11776.8493253099,1
"413","El Salvador",18,1,11825.3210644546,1
"414","El Salvador",19,1,11800.1331219494,1
"415","El Salvador",20,1,11789.6381459055,1
"416","El Salvador",21,1,11776.8493253099,1
"417","El Salvador",22,1,11789.6381459055,1
"418","El Salvador",23,1,11754.8167166077,1
"419","El Salvador",24,1,11774.146609491,1
"420","El Salvador",25,1,11754.8167166077,1
"421","El Salvador",26,1,11525.0970921697,1
"422","El Salvador",27,1,11525.0970921697,1
"423","El Salvador",28,NA,11049.7732381389,NA
"424","Grenada",0,0.611822320603536,11795.492301904,1.63446145445224
"425","Grenada",1,0.689703936418997,11811.9399699987,1.44989748092796
"426","Grenada",2,0.73801177291575,11800.303392638,1.35499193468037
"427","Grenada",3,0.765232117410525,11811.9399699987,1.30679303344442
"428","Grenada",4,0.765694252953741,11800.303392638,1.30600431718326
"429","Grenada",5,0.777193989338123,11825.3210644546,1.28668004863448
"430","Grenada",6,0.774304748430932,11809.4619895439,1.29148116684861
"431","Grenada",7,0.797705397510696,11809.4619895439,1.25359562956523
"432","Grenada",8,0.809314840674677,11795.492301904,1.23561307632313
"433","Grenada",9,0.822080917914567,11825.3210644546,1.21642526691505
"434","Grenada",10,0.833370261002876,11806.1306438432,1.19994682651215
"435","Grenada",11,0.844195070289867,11786.1614158957,1.18456034060544
"436","Grenada",12,0.855873154810099,11805.8576543369,1.16839743644241
"437","Grenada",13,0.86682492747616,11788.3902155824,1.15363549005402
"438","Grenada",14,0.878968642946751,11825.3210644546,1.13769701345373
