"","country","iso3","Year","Month","date","cases","source"
"3803","South Africa","ZAF",2025,11,2025-11-01,NA,NA
"3804","South Africa","ZAF",2025,12,2025-12-01,NA,NA
"3805","South Africa","ZAF",2026,1,2026-01-01,0,"WHO"
"3806","South Africa","ZAF",2026,2,2026-02-01,0,"WHO"
"3807","South Africa","ZAF",2026,3,2026-03-01,0,"WHO"
"3808","South Africa","ZAF",2026,4,2026-04-01,0,"WHO"
"3809","South Africa","ZAF",2026,5,2026-05-01,0,"WHO"
"3810","South Africa","ZAF",2026,6,2026-06-01,NA,NA
"3811","South Africa","ZAF",2026,7,2026-07-01,NA,NA
"3812","South Africa","ZAF",2026,8,2026-08-01,NA,NA
"3813","South Africa","ZAF",2026,9,2026-09-01,NA,NA
"3814","South Africa","ZAF",2026,10,2026-10-01,NA,NA
"3815","South Africa","ZAF",2026,11,2026-11-01,NA,NA
"3816","South Africa","ZAF",2026,12,2026-12-01,NA,NA
"3817","South Sudan","SSD",2025,1,2025-01-01,NA,NA
"3818","South Sudan","SSD",2025,2,2025-02-01,NA,NA
"3819","South Sudan","SSD",2025,3,2025-03-01,NA,NA
"3820","South Sudan","SSD",2025,4,2025-04-01,NA,NA
"3821","South Sudan","SSD",2025,5,2025-05-01,NA,NA
"3822","South Sudan","SSD",2025,6,2025-06-01,NA,NA
"3823","South Sudan","SSD",2025,7,2025-07-01,NA,NA
"3824","South Sudan","SSD",2025,8,2025-08-01,NA,NA
"3825","South Sudan","SSD",2025,9,2025-09-01,NA,NA
"3826","South Sudan","SSD",2025,10,2025-10-01,NA,NA
"3827","South Sudan","SSD",2025,11,2025-11-01,NA,NA
"3828","South Sudan","SSD",2025,12,2025-12-01,NA,NA
"3829","South Sudan","SSD",2026,1,2026-01-01,0,"WHO"
"3830","South Sudan","SSD",2026,2,2026-02-01,0,"WHO"
"3831","South Sudan","SSD",2026,3,2026-03-01,0,"WHO"
"3832","South Sudan","SSD",2026,4,2026-04-01,0,"WHO"
"3833","South Sudan","SSD",2026,5,2026-05-01,0,"WHO"
"3834","South Sudan","SSD",2026,6,2026-06-01,NA,NA
"3835","South Sudan","SSD",2026,7,2026-07-01,NA,NA
"3836","South Sudan","SSD",2026,8,2026-08-01,NA,NA
"3837","South Sudan","SSD",2026,9,2026-09-01,NA,NA
"3838","South Sudan","SSD",2026,10,2026-10-01,NA,NA
"3839","South Sudan","SSD",2026,11,2026-11-01,NA,NA
"3840","South Sudan","SSD",2026,12,2026-12-01,NA,NA
"3841","Spain","ESP",2025,1,2025-01-01,0,"WHO"
"3842","Spain","ESP",2025,2,2025-02-01,0,"WHO"
"3843","Spain","ESP",2025,3,2025-03-01,0,"WHO"
"3844","Spain","ESP",2025,4,2025-04-01,0,"WHO"
"3845","Spain","ESP",2025,5,2025-05-01,0,"WHO"
"3846","Spain","ESP",2025,6,2025-06-01,0,"WHO"
"3847","Spain","ESP",2025,7,2025-07-01,0,"WHO"
"3848","Spain","ESP",2025,8,2025-08-01,0,"WHO"
"3849","Spain","ESP",2025,9,2025-09-01,0,"WHO"
"3850","Spain","ESP",2025,10,2025-10-01,0,"WHO"
