iso3,origin_date,horizon,target_date,model,window_type,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median,dispersion_log,overprediction_log,underprediction_log,ae_median_log,crps,crps_log,.pred,actual,lead_time,squared_error,season,season_nMonth,region,seasonality_signal,endemicity,size_class,mean_actual_predicted_month,umae_row,urmse_sq_row
BRN,2016-01-01,6,2016-07-01,glm_ar1,expanding,308.6,0,196.35999999999999,1,FALSE,FALSE,1069,0.2869660944447909,2.9199697751793936,0,5.035095591666416,504.96000000000004,3.2069358696241843,1075,6,6,1142761,2016/2017,3,East & Southeast Asia,weak,emerging,very_small,29.21428571428571,36.591687041564796,1338.951560547821
CHL,2016-01-01,1,2016-02-01,glm_ar1,expanding,3,0,2.68,0.9,FALSE,TRUE,13,0.24406326776891615,0.44986811569504664,0,1.6739764335716714,5.6800000000000015,0.6939313834639629,15,2,1,169,2015/2016,11,South America,strong,emerging,medium,2.6,5,24.999999999999996
CHL,2016-01-01,2,2016-03-01,glm_ar1,expanding,13.8,0,11.7,0.9,FALSE,TRUE,57,0.27822668589392946,0.6428354608173292,0,2.094945728215801,25.500000000000004,0.9210621467112589,64,7,2,3249,2015/2016,12,South America,strong,emerging,medium,7.2,7.916666666666666,62.67361111111111
CHN,2016-01-01,1,2016-02-01,glm_ar1,expanding,2.6,0,1.6,0.9,FALSE,TRUE,9,0.2153134509690456,0.899961934066053,0,2.302585092994046,4.200000000000001,1.1152753850350987,9,0,1,81,2015/2016,12,East & Southeast Asia,strong,emerging,continental,20.142857142857146,0.4468085106382978,0.1996378451788139
CHN,2016-01-01,2,2016-03-01,glm_ar1,expanding,13.2,0,8.42,1,FALSE,FALSE,46,0.27237561385321235,1.968322429763608,0,3.8501476017100584,21.620000000000005,2.240698043616821,46,0,2,2116,2016/2017,1,East & Southeast Asia,strong,emerging,continental,17.2,2.674418604651163,7.152514872904273
CHN,2016-01-01,3,2016-04-01,glm_ar1,expanding,40.8,0,25.72,1,FALSE,FALSE,140,0.2822950785795085,2.904748675188452,0,4.948759890378168,66.52000000000001,3.1870437537679606,140,0,3,19600,2016/2017,2,East & Southeast Asia,strong,emerging,continental,28.466666666666665,4.918032786885246,24.187046492878263
CHN,2016-01-01,4,2016-05-01,glm_ar1,expanding,90.2,0,56.6,1,FALSE,FALSE,309,0.2854946570540518,3.6488459841260275,0,5.736572297479192,146.8,3.9343406411800794,309,0,4,95481,2016/2017,3,East & Southeast Asia,strong,emerging,continental,54,5.722222222222222,32.74382716049383
CHN,2016-01-01,5,2016-06-01,glm_ar1,expanding,158.8,0,99.5,1,FALSE,FALSE,544,0.28724340470693505,4.180616281275062,0,6.300785794663244,258.3,4.467859685981997,544,0,5,295936,2016/2017,4,East & Southeast Asia,strong,emerging,continental,109.86666666666666,4.951456310679612,24.516919596568954
CHN,2016-01-01,6,2016-07-01,glm_ar1,expanding,156.6,0,148.82,0.9,FALSE,TRUE,691,0.28642619335704433,0.5005600512125046,0,1.8761006176618054,305.4200000000001,0.786986244569549,815,124,6,477481,2016/2017,5,East & Southeast Asia,strong,emerging,continental,338.6666666666667,2.040354330708661,4.163045794841589
COL,2016-01-01,1,2016-02-01,glm_ar1,expanding,0,590.2,1622.48,-0.5,TRUE,TRUE,2951,0.2876961661230627,0,0.05736186738675322,0.2868093369337661,2212.6800000000003,0.34505803350981595,8883,11834,1,8708401,2016/2017,1,South America,weak,endemic,large,8946.64705882353,0.3298442400373456,0.10879722268581403
