model,window_type,iso3,origin_date,n_months,peak_timing_diff,dtw_distance,season,region,seasonality_signal,endemicity,size_class
glm_ar1,expanding,BOL,2021-07-01,6,0,0.24918225221394788,2021/2022,South America,strong,endemic,large
glm_ar1,expanding,BOL,2022-01-01,6,4,0.21601875103674514,2021/2022,South America,strong,endemic,large
glm_ar1,expanding,BOL,2022-07-01,6,0,0.5679822675774086,2022/2023,South America,strong,endemic,large
glm_ar1,expanding,BOL,2023-01-01,6,0,0.5012057366573032,2022/2023,South America,strong,endemic,large
glm_ar1,expanding,BOL,2023-07-01,6,0,0.24137356465709633,2023/2024,South America,strong,endemic,large
glm_ar1,expanding,BOL,2024-01-01,6,-1,0.40115931466829574,2023/2024,South America,strong,endemic,large
glm_ar1,expanding,BOL,2024-07-01,6,0,0.14668277500310004,2024/2025,South America,strong,endemic,large
glm_ar1,expanding,BOL,2025-01-01,6,-1,0.27661643326621577,2024/2025,South America,strong,endemic,large
glm_ar1,expanding,BOL,2025-07-01,6,0,0.3561518078218507,2025/2026,South America,strong,endemic,large
glm_ar1,expanding,BOL,2026-01-01,6,0,0.41776791478359754,2025/2026,South America,strong,endemic,large
glm_ar1,expanding,BRA,2016-01-01,6,0,0.9739782168605225,2015/2016,South America,strong,endemic,continental
glm_ar1,expanding,BRA,2016-07-01,6,-5,0.28497052754375557,2015/2016,South America,strong,endemic,continental
glm_ar1,expanding,BRA,2017-01-01,6,-2,0.19735901997353444,2016/2017,South America,strong,endemic,continental
glm_ar1,expanding,BRA,2017-07-01,6,0,0.18475870875701364,2016/2017,South America,strong,endemic,continental
glm_ar1,expanding,BRA,2018-01-01,6,-2,0.17458064072702584,2017/2018,South America,strong,endemic,continental
glm_ar1,expanding,BRA,2018-07-01,6,-5,1.3366968032731819,2017/2018,South America,strong,endemic,continental
glm_ar1,expanding,BRA,2019-01-01,6,-2,1.9360495751463977,2018/2019,South America,strong,endemic,continental
glm_ar1,expanding,BRA,2019-07-01,6,-5,1.3490150424005094,2018/2019,South America,strong,endemic,continental
glm_ar1,expanding,BRA,2020-01-01,6,-1,1.2155589603557186,2019/2020,South America,strong,endemic,continental
glm_ar1,expanding,BRA,2020-07-01,6,-5,0.7858332911681983,2019/2020,South America,strong,endemic,continental
glm_ar1,expanding,BRA,2021-01-01,6,-2,1.422264452709144,2020/2021,South America,strong,endemic,continental
glm_ar1,expanding,BRA,2021-07-01,6,-5,1.2144363807644607,2020/2021,South America,strong,endemic,continental
glm_ar1,expanding,BRA,2022-01-01,6,-3,2.034896273322427,2021/2022,South America,strong,endemic,continental
glm_ar1,expanding,BRA,2022-07-01,6,-5,1.0331735820875434,2021/2022,South America,strong,endemic,continental
glm_ar1,expanding,BRA,2023-01-01,6,-2,1.7931650237368963,2022/2023,South America,strong,endemic,continental
glm_ar1,expanding,BRA,2023-07-01,6,-5,1.7718780072970113,2022/2023,South America,strong,endemic,continental
glm_ar1,expanding,BRA,2024-01-01,6,-1,1.7700847011005572,2023/2024,South America,strong,endemic,continental
glm_ar1,expanding,BRA,2024-07-01,6,-5,1.7262979154185196,2023/2024,South America,strong,endemic,continental
glm_ar1,expanding,BRA,2025-01-01,6,-1,1.3108691079591333,2024/2025,South America,strong,endemic,continental
glm_ar1,expanding,BRA,2025-07-01,6,-5,1.7493687127663888,2024/2025,South America,strong,endemic,continental
glm_ar1,expanding,BRA,2026-01-01,6,-1,0.9054243631687272,2025/2026,South America,strong,endemic,continental
glm_ar1,expanding,BRB,2016-01-01,6,5,2.0598736751025597,2015/2016,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRB,2016-07-01,6,3,0.6601351347612298,2016/2017,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRB,2017-01-01,6,4,0.6063390574397536,2016/2017,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRB,2017-07-01,6,4,1.3863151775462412,2017/2018,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRB,2018-01-01,6,5,1.2951828244695023,2017/2018,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRB,2018-07-01,6,4,2.8757315528349134,2018/2019,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRB,2019-01-01,6,1,2.249647510985801,2018/2019,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRB,2019-07-01,6,0,1.4996402985280837,2019/2020,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRB,2020-01-01,6,5,2.565531973016459,2019/2020,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRB,2020-07-01,6,1,0.5563529403659074,2020/2021,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRB,2021-01-01,6,5,3.3666287810957116,2020/2021,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRB,2021-07-01,6,0,1.4440978574411105,2021/2022,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRB,2022-01-01,6,0,1.8042610973976059,2021/2022,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRB,2022-07-01,6,3,2.5750132287710477,2022/2023,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRB,2023-01-01,6,4,3.8662827537313422,2022/2023,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRB,2023-07-01,6,0,0.2772912086353541,2023/2024,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRB,2024-01-01,6,5,2.3750567642382827,2023/2024,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRB,2024-07-01,6,0,1.5033436274206808,2024/2025,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRB,2025-01-01,6,3,2.5099890369907754,2024/2025,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRB,2025-07-01,6,2,2.2481421838870164,2025/2026,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRB,2026-01-01,6,0,2.9707448901831577,2025/2026,Caribbean,weak,endemic,very_small
glm_ar1,expanding,BRN,2016-01-01,6,3,2.6819051584819076,2015/2016,East & Southeast Asia,weak,emerging,very_small
glm_ar1,expanding,BRN,2016-07-01,6,5,0.7067561391049272,2016/2017,East & Southeast Asia,weak,emerging,very_small
glm_ar1,expanding,BRN,2017-01-01,6,4,1.213264803944478,2016/2017,East & Southeast Asia,weak,emerging,very_small
glm_ar1,expanding,BRN,2017-07-01,6,0,0.287153263523773,2017/2018,East & Southeast Asia,weak,emerging,very_small
glm_ar1,expanding,BRN,2018-01-01,6,0,1.0104084520397365,2017/2018,East & Southeast Asia,weak,emerging,very_small
glm_ar1,expanding,BRN,2018-07-01,6,0,1.8839656449593702,2018/2019,East & Southeast Asia,weak,emerging,very_small
glm_ar1,expanding,BRN,2019-01-01,6,5,2.386246620405552,2018/2019,East & Southeast Asia,weak,emerging,very_small
glm_ar1,expanding,BRN,2019-07-01,6,0,1.8106326680613343,2019/2020,East & Southeast Asia,weak,emerging,very_small
glm_ar1,expanding,BRN,2020-01-01,6,0,2.281432601217594,2019/2020,East & Southeast Asia,weak,emerging,very_small
glm_ar1,expanding,BRN,2020-07-01,6,2,1.8745289834825305,2020/2021,East & Southeast Asia,weak,emerging,very_small
glm_ar1,expanding,BRN,2021-01-01,6,0,2.2085030704938613,2020/2021,East & Southeast Asia,weak,emerging,very_small
glm_ar1,expanding,BRN,2021-07-01,6,2,1.8452875730676521,2021/2022,East & Southeast Asia,weak,emerging,very_small
glm_ar1,expanding,BRN,2022-01-01,6,4,2.2106867287800025,2021/2022,East & Southeast Asia,weak,emerging,very_small
