"country","region","type_of_missingness","accompanying_text","data_status_message"
"Tonga","Pacific Islands","Full data","Tonga is estimated to have experienced <span class=""scrolly-step-number"">261</span> cases this year to date. This is <span class=""scrolly-step-number"">1.4×</span> the number of cases reported in an average year. This year the dengue situation in Tonga is <span class=""scrolly-modifier above"">above</span> average.","Some recent months contain estimated data"
"Trinidad And Tobago","Caribbean","Full data","Trinidad And Tobago is estimated to have experienced <span class=""scrolly-step-number"">4</span> cases this year to date. This is <span class=""scrolly-step-number"">0.0×</span> the number of cases reported in an average year. This year the dengue situation in Trinidad And Tobago is <span class=""scrolly-modifier below"">below</span> average.","Some recent months contain estimated data"
"Turks And Caicos Islands","Caribbean","Full data","Turks And Caicos Islands is estimated to have experienced <span class=""scrolly-step-number"">10</span> cases this year to date. This is <span class=""scrolly-step-number"">0.2×</span> the number of cases reported in an average year. This year the dengue situation in Turks And Caicos Islands is <span class=""scrolly-modifier below"">below</span> average.","Some recent months contain estimated data"
"Tuvalu","Pacific Islands","Full data","Tuvalu is estimated to have experienced <span class=""scrolly-step-number"">8</span> cases this year to date. This is <span class=""scrolly-step-number"">0.4×</span> the number of cases reported in an average year. This year the dengue situation in Tuvalu is <span class=""scrolly-modifier below"">below</span> average.","Some recent months contain estimated data"
"United States Of America","North & Central America","Full data","United States Of America is estimated to have experienced <span class=""scrolly-step-number"">100</span> cases this year to date. This is <span class=""scrolly-step-number"">1.6×</span> the number of cases reported in an average year. This year the dengue situation in United States Of America is <span class=""scrolly-modifier above"">above</span> average.","Some recent months contain estimated data"
"Uruguay","South America","Full data","Uruguay is estimated to have experienced <span class=""scrolly-step-number"">3</span> cases this year to date. This is <span class=""scrolly-step-number"">0.0×</span> the number of cases reported in an average year. This year the dengue situation in Uruguay is <span class=""scrolly-modifier below"">below</span> average.","Some recent months contain estimated data"
"Vanuatu","Pacific Islands","Full data","Vanuatu is estimated to have experienced <span class=""scrolly-step-number"">44</span> cases this year to date. This is <span class=""scrolly-step-number"">1.8×</span> the number of cases reported in an average year. This year the dengue situation in Vanuatu is <span class=""scrolly-modifier above"">above</span> average.","Some recent months contain estimated data"
"Venezuela","South America","No current year data reported","Current year data for Venezuela has not been reported yet. We do not have enough data to estimate current cases.","Recent months contain observed data only"
"Viet Nam","East & Southeast Asia","Full data","Viet Nam is estimated to have experienced <span class=""scrolly-step-number"">10,952</span> cases this year to date. This is <span class=""scrolly-step-number"">0.8×</span> the number of cases reported in an average year. This year the dengue situation in Viet Nam is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain estimated data"
"Virgin Islands (Uk)","Caribbean","Full data","Virgin Islands (Uk) is estimated to have experienced <span class=""scrolly-step-number"">13</span> cases this year to date. This is <span class=""scrolly-step-number"">0.5×</span> the number of cases reported in an average year. This year the dengue situation in Virgin Islands (Uk) is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain estimated data"
"Wallis And Futuna","Pacific Islands","Full data","Wallis And Futuna is estimated to have experienced <span class=""scrolly-step-number"">5</span> cases this year to date. This is <span class=""scrolly-step-number"">0.2×</span> the number of cases reported in an average year. This year the dengue situation in Wallis And Futuna is <span class=""scrolly-modifier below"">below</span> average.","Some recent months contain estimated data"
