iso3,country,step_1_historic_data,step_2_cleaned_data,step_3a_after_case_filter,step_3b_after_seasonal_filter,step_4_current_data,step_5_merge_and_nowcast,step_6_final,dropped_at_step,drop_reason,final_status
LSO,Lesotho,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
LBR,Liberia,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: <3 complete seasons,Dropped after current data selection
LIE,Liechtenstein,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
LTU,Lithuania,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
LUX,Luxembourg,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
MAC,Macau,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: <5 cases/month average,Dropped after case filtering
MDG,Madagascar,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
MWI,Malawi,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
MYS,Malaysia,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
MDV,Maldives,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
