"","country","iso3","Month","season_nMonth","nb_size","nb_mean","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion","date","Year","cases","source","Data_status","Predicted_total_seasonal_cases","cum_todate_cases_calendar","cum_todate_cases_season","Data_process","percentile_most_recent","Country","Region"
"393","Dominican Republic","DOM",3,4,2.40233221756344,382.5,382.5,1380.16666666667,0.190430845886579,0.0452896983411601,2025-03-01,2025,239,"PAHO","Observed",1255,606,6903,"Observed",99.3412317374039,"Dominican Republic","Latin America & Caribbean"
"394","El Salvador","SLV",3,4,2.20084918300496,1772.42857142858,1772.42857142857,5818.28571428571,0.333133383616887,0.0849536551899466,2025-03-01,2025,492,"PAHO","Observed",1477,1261,3115,"Observed",48.7151994019118,"El Salvador","Latin America & Caribbean"
"395","French Polynesia","PYF",3,4,0.643052025268343,63.5555555555555,63.5555555555556,328.888888888889,0.420254566185781,0.0611876990966261,2025-03-01,2025,240,"WHO","Observed",571,594,630,"Observed",99.8851383035737,"French Polynesia","East Asia & Pacific"
"396","Guatemala","GTM",3,4,2.68942771155049,960.285714285716,960.285714285714,2890.42857142857,0.265162944751338,0.0751139192131456,2025-03-01,2025,5506,"PAHO","Observed",20765,13349,34327,"Observed",100,"Guatemala","Latin America & Caribbean"
"397","Honduras","HND",3,4,2.68579856733675,2309,2309,7198.66666666667,0.346867268428004,0.0931762306099966,2025-03-01,2025,2134,"PAHO","Observed",6152,4842,16941,"Observed",98.2249617749097,"Honduras","Latin America & Caribbean"
"398","India","IND",3,4,1.80929132733471,5720.92307692308,5720.92307692308,19566.6923076923,0.169417962067939,0.0471295037933949,2025-03-01,2025,3517,"SEARO","Observed",20759,12023,45487,"Observed",99.2248508359619,"India","South Asia"
"399","Jamaica","JAM",3,4,0.800659203196895,82.25,82.25,380.5,0.31914775350767,0.0430858956798708,2025-03-01,2025,37,"PAHO","Observed",116,121,1251,"Observed",75.7032476583272,"Jamaica","Latin America & Caribbean"
"400","Kiribati","KIR",3,4,0.156151572509443,190.25,190.25,436.5,0.50125082571469,0.107980773092097,2025-03-01,2025,5,"WHO","Observed",10,5,5,"Observed",51.1254420320591,"Kiribati","East Asia & Pacific"
"401","Nepal","NPL",3,4,1.91402122749853,7.2,7.2,24,0.0865600913751295,0.02106279285167,2025-03-01,2025,254,"SEARO","Observed",2934,765,2890,"Observed",100,"Nepal","South Asia"
"402","Palau","PLW",3,4,0.729991280334092,76.3999999999999,76.4,212,0.334553352156602,0.0840580660929904,2025-03-01,2025,0,"WHO","Observed",0,0,2,"Observed",3.33093802768649,"Palau","East Asia & Pacific"
"403","Samoa","WSM",3,4,0.252532117239286,712.000000000002,712,2140.5,0.542547519476454,0.0872331208619906,2025-03-01,2025,0,"WHO","Observed",0,5,121,"Observed",13.4488158314376,"Samoa","East Asia & Pacific"
"404","Sudan","SDN",3,4,0.145928834661307,202.75,202.75,688,0.207294682613557,0.00839950722966859,2025-03-01,2025,663,"WHO","Observed",3198,2186,4682,"Observed",99.4048417447042,"Sudan","Sub-Saharan Africa"
"405","Tonga","TON",3,4,0.678172867450122,30.3333333333333,30.3333333333333,111.666666666667,0.562771131012078,0.0877565133715359,2025-03-01,2025,603,"WHO","Observed",1071,852,852,"Observed",99.9999999986379,"Tonga","East Asia & Pacific"
"406","Vanuatu","VUT",3,4,1.12390759916461,9,9,67,0.411189996772133,0.0638126240182871,2025-03-01,2025,0,"WHO","Observed",0,84,132,"Observed",8.45469731945722,"Vanuatu","East Asia & Pacific"
"407","Bhutan","BTN",4,4,0.753796344565249,78.0999999999999,78.1,255.2,0.243571802843631,0.0786279648752849,2025-04-01,2025,0,"SEARO","Observed",0,3,3,"Observed",3.00370022400592,"Bhutan","South Asia"
"408","Burkina Faso","BFA",4,4,0.405423118019199,87.9999999999998,88,222.5,0.0892934026326251,0.0119311149123788,2025-04-01,2025,2026,"WHO","Observed",22689,10941,28039,"Observed",100,"Burkina Faso","Sub-Saharan Africa"
"409","Cameroon","CMR",4,4,8.70036823043989,17.5,17.5,92.5,0.21109052581414,0.0397249646712385,2025-04-01,2025,0,"WHO","Observed",0,60,117,"Observed",0.00683166842611768,"Cameroon","Sub-Saharan Africa"
"410","Curaçao","CUW",4,4,3.52501729948035,33,33,252.75,0.229528608567335,0.0297046179148056,2025-04-01,2025,22,"WHO","Unobserved",96,166,462,"Estimates",99.4114834902002,"Curaçao","Latin America & Caribbean"
"411","Ethiopia","ETH",4,4,0.113594240714781,285.2,285.2,2290.2,0.0905178885274038,0.0123622879156625,2025-04-01,2025,1625,"WHO","Observed",17952,1879,2830,"Observed",99.9985151812048,"Ethiopia","Sub-Saharan Africa"
"412","Grenada","GRD",4,4,0.509382959523803,49.125,49.125,130,0.273916482639354,0.0941199278600158,2025-04-01,2025,16,"PAHO","Observed",58,72,210,"Observed",72.3628303058517,"Grenada","Latin America & Caribbean"
"413","Guadeloupe","GLP",4,4,0.316312324733264,166.142857142857,166.142857142857,2814.14285714286,0.259237345669011,0.0110753539679938,2025-04-01,2025,0,"WHO","Observed",0,4160,7555,"Observed",13.7801376567616,"Guadeloupe","Latin America & Caribbean"
"414","Mexico","MEX",4,4,3.10168977066108,8769.66666666669,8769.66666666667,21243,0.184428473844917,0.0717585997781506,2025-04-01,2025,6206,"PAHO","Observed",33650,34434,98621,"Observed",99.9329579498256,"Mexico","Latin America & Caribbean"
"415","Panama","PAN",4,4,1.21844093081061,863.727272727273,863.727272727273,2474.27272727273,0.275733557207515,0.0902098149849468,2025-04-01,2025,898,"PAHO","Observed",3257,6082,11774,"Observed",98.3896587705414,"Panama","Latin America & Caribbean"
"416","Puerto Rico","PRI",4,4,0.799086770860662,430.125,430.125,1789,0.244997166692324,0.0603611218056616,2025-04-01,2025,193,"PAHO","Observed",788,1573,2646,"Observed",83.1895492796976,"Puerto Rico","Latin America & Caribbean"
"417","Suriname","SUR",4,4,1.65672844378102,23.8,23.8,108.8,0.318707741900931,0.0641462759133001,2025-04-01,2025,1,"WHO","Unobserved",3,13,106,"Estimates",7.21079252249999,"Suriname","Latin America & Caribbean"
"418","Marshall Islands","MHL",5,4,0.762013288310805,209.666666666667,209.666666666667,317.666666666667,0.12528059066967,0.0855079804865053,2025-05-01,2025,0,"WHO","Observed",0,0,0,"Observed",1.37980293121142,"Marshall Islands","East Asia & Pacific"
"419","Martinique","MTQ",5,4,0.201024908353669,149.6,149.6,712.4,0.153464558639787,0.00999977822267429,2025-05-01,2025,130,"PAHO","Observed",847,905,4607,"Observed",95.7190331676412,"Martinique","Latin America & Caribbean"
"420","Senegal","SEN",5,4,3.54011941898797,3.25,3.25,9.25,0.068180005799623,0.0239716996520226,2025-05-01,2025,201,"WHO","Observed",2948,652,684,"Observed",100,"Senegal","Sub-Saharan Africa"
