date,country,iso3,cases,Year,Month,Month.Year
2024-03-01,Luxembourg,LUX,0,2024,3,3-2024
2024-03-01,Malta,MLT,0,2024,3,3-2024
2024-03-01,Mayotte,MYT,1,2024,3,3-2024
2024-03-01,Monaco,MCO,0,2024,3,3-2024
2024-03-01,Montenegro,MNE,0,2024,3,3-2024
2024-03-01,Netherlands (Kingdom of the),NLD,0,2024,3,3-2024
2024-03-01,North Macedonia,MKD,0,2024,3,3-2024
2024-03-01,Norway,NOR,0,2024,3,3-2024
2024-03-01,Poland,POL,0,2024,3,3-2024
2024-03-01,Portugal,PRT,0,2024,3,3-2024
2024-03-01,Republic of Moldova,MDA,0,2024,3,3-2024
2024-03-01,Romania,ROU,0,2024,3,3-2024
2024-03-01,Russian Federation,RUS,0,2024,3,3-2024
2024-03-01,Réunion,REU,441,2024,3,3-2024
2024-03-01,San Marino,SMR,0,2024,3,3-2024
2024-03-01,Serbia,SRB,0,2024,3,3-2024
2024-03-01,Slovakia,SVK,0,2024,3,3-2024
2024-03-01,Slovenia,SVN,0,2024,3,3-2024
2024-03-01,Spain,ESP,0,2024,3,3-2024
2024-03-01,Sweden,SWE,0,2024,3,3-2024
2024-03-01,Switzerland,CHE,0,2024,3,3-2024
2024-03-01,Tajikistan,TJK,0,2024,3,3-2024
2024-03-01,Turkmenistan,TKM,0,2024,3,3-2024
2024-03-01,Türkiye,TUR,0,2024,3,3-2024
2024-03-01,Ukraine,UKR,0,2024,3,3-2024
2024-03-01,United Kingdom of Great Britain and Northern Ireland,GBR,0,2024,3,3-2024
2024-03-01,Uzbekistan,UZB,0,2024,3,3-2024
2024-04-01,Angola,AGO,0,2024,4,4-2024
2024-04-01,Benin,BEN,0,2024,4,4-2024
2024-04-01,Burkina Faso,BFA,2404,2024,4,4-2024
2024-04-01,Burundi,BDI,0,2024,4,4-2024
2024-04-01,Cabo Verde,CPV,93,2024,4,4-2024
2024-04-01,Cameroon,CMR,0,2024,4,4-2024
2024-04-01,Central African Republic,CAF,0,2024,4,4-2024
2024-04-01,Chad,TCD,0,2024,4,4-2024
2024-04-01,Congo,COG,0,2024,4,4-2024
2024-04-01,Côte d'Ivoire,CIV,24,2024,4,4-2024
2024-04-01,Eritrea,ERI,972,2024,4,4-2024
2024-04-01,Ethiopia,ETH,128,2024,4,4-2024
2024-04-01,Gabon,GAB,0,2024,4,4-2024
