iso3,origin_date,horizon,target_date,.pred,.pred_lower50,.pred_upper50,.pred_lower90,.pred_upper90,model,window_type,n_train_months,n_gap_in_window,actual
GLP,2016-01-01,4,2016-05-01,193,155,207,8,1231,nowcast,expanding,70,0,5
GLP,2016-01-01,5,2016-06-01,253,202,270,10,1610,nowcast,expanding,70,0,5
GLP,2016-01-01,6,2016-07-01,204,163,218,8,1297,nowcast,expanding,70,0,5
GRD,2016-01-01,1,2016-02-01,4,2,6,0,13,nowcast,expanding,60,11,NA
GRD,2016-01-01,2,2016-03-01,1,0,4,0,16,nowcast,expanding,60,11,13
GRD,2016-01-01,3,2016-04-01,0,0,2,0,11,nowcast,expanding,60,11,61
GRD,2016-01-01,4,2016-05-01,0,0,2,0,7,nowcast,expanding,60,11,27
GRD,2016-01-01,5,2016-06-01,0,0,2,0,7,nowcast,expanding,60,11,0
GRD,2016-01-01,6,2016-07-01,0,0,3,0,13,nowcast,expanding,60,11,17
GTM,2016-01-01,1,2016-02-01,712,625,909,347,1942,nowcast,expanding,72,0,591
GTM,2016-01-01,2,2016-03-01,615,540,786,300,1678,nowcast,expanding,72,0,574
GTM,2016-01-01,3,2016-04-01,564,495,720,275,1537,nowcast,expanding,72,0,311
GTM,2016-01-01,4,2016-05-01,855,751,1092,416,2331,nowcast,expanding,72,0,633
GTM,2016-01-01,5,2016-06-01,1490,1309,1903,726,4064,nowcast,expanding,72,0,1020
GTM,2016-01-01,6,2016-07-01,1113,977,1421,542,3035,nowcast,expanding,72,0,1086
GUF,2016-01-01,1,2016-02-01,1081,0,1290,0,1500,nowcast,expanding,64,0,98
GUF,2016-01-01,2,2016-03-01,490,0,585,0,680,nowcast,expanding,64,0,53
GUF,2016-01-01,3,2016-04-01,490,0,584,0,680,nowcast,expanding,64,0,47
GUF,2016-01-01,4,2016-05-01,364,0,434,0,505,nowcast,expanding,64,0,34
GUF,2016-01-01,5,2016-06-01,447,0,534,0,621,nowcast,expanding,64,0,42
GUF,2016-01-01,6,2016-07-01,400,0,477,0,555,nowcast,expanding,64,0,39
