iso3,origin_date,horizon,target_date,.pred,.pred_lower50,.pred_upper50,.pred_lower90,.pred_upper90,model,window_type,n_train_months,n_gap_in_window,actual
FJI,2016-01-01,5,2016-06-01,1263,264,1743,29,4171,glm_ar1,expanding,63,0,58
FJI,2016-01-01,6,2016-07-01,1489,311,2055,34,4918,glm_ar1,expanding,63,0,41
FSM,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,NA
FSM,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,NA
FSM,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,2
FSM,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,8
FSM,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,14
FSM,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,5
GLP,2016-01-01,1,2016-02-01,109,22,151,2,361,glm_ar1,expanding,70,0,10
GLP,2016-01-01,2,2016-03-01,259,54,357,6,854,glm_ar1,expanding,70,0,8
GLP,2016-01-01,3,2016-04-01,479,100,660,11,1581,glm_ar1,expanding,70,0,3
GLP,2016-01-01,4,2016-05-01,743,155,1026,17,2454,glm_ar1,expanding,70,0,5
GLP,2016-01-01,5,2016-06-01,1019,213,1406,23,3363,glm_ar1,expanding,70,0,5
GLP,2016-01-01,6,2016-07-01,1277,266,1762,29,4215,glm_ar1,expanding,70,0,5
GRD,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,glm_ar1,expanding,60,11,NA
GRD,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,glm_ar1,expanding,60,11,13
GRD,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,glm_ar1,expanding,60,11,61
GRD,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,glm_ar1,expanding,60,11,27
GRD,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,glm_ar1,expanding,60,11,0
GRD,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,glm_ar1,expanding,60,11,17
GTM,2016-01-01,1,2016-02-01,1056,220,1458,24,3488,glm_ar1,expanding,72,0,591
GTM,2016-01-01,2,2016-03-01,1310,274,1808,30,4327,glm_ar1,expanding,72,0,574
GTM,2016-01-01,3,2016-04-01,1529,319,2110,35,5049,glm_ar1,expanding,72,0,311
