"country","iso3","year","ext_date","EW","onset_date","total_den","total_corrected_cases","total_applied_cases","d","rf","correction_applied","correction_excluded","correction_reason"
"Puerto Rico","PRI",2026,"20260805",25,2026-06-15,816,819,819,7,1.00417195848841,TRUE,FALSE,"applied_mean"
"Anguilla","AIA",2024,"20260805",40,2024-09-30,5,NA,5,96,NA,FALSE,TRUE,"no_lookup_match"
"Anguilla","AIA",2025,"20260805",40,2025-09-29,3,NA,3,44,NA,FALSE,TRUE,"no_lookup_match"
"Anguilla","AIA",2026,"20260805",24,2026-06-08,0,NA,0,8,NA,FALSE,TRUE,"no_lookup_match"
"Antigua and Barbuda","ATG",2025,"20260805",40,2025-09-29,14,14,14,44,1,TRUE,FALSE,"applied_mean"
"Antigua and Barbuda","ATG",2026,"20260805",24,2026-06-08,4,NA,4,8,NA,FALSE,TRUE,"no_lookup_match"
"Antigua and Barbuda","ATG",2024,"20260805",36,2024-09-02,163,NA,163,100,NA,FALSE,TRUE,"no_lookup_match"
"Aruba","ABW",2024,"20260805",40,2024-09-30,84,NA,84,96,NA,FALSE,TRUE,"no_lookup_match"
"Aruba","ABW",2025,"20260805",40,2025-09-29,14,14,14,44,1,TRUE,FALSE,"applied_mean"
"Bahamas","BHS",2024,"20260805",8,2024-02-19,0,NA,0,128,NA,FALSE,TRUE,"no_lookup_match"
"Bahamas","BHS",2026,"20260805",20,2026-05-11,1,NA,1,12,NA,FALSE,TRUE,"no_lookup_match"
"Barbados","BRB",2025,"20260805",40,2025-09-29,136,136,136,44,1,TRUE,FALSE,"applied_mean"
"Barbados","BRB",2026,"20260805",26,2026-06-22,26,21,21,6,0.803024217862231,TRUE,FALSE,"applied_mean"
"Barbados","BRB",2024,"20260805",40,2024-09-30,1089,NA,1089,96,NA,FALSE,TRUE,"no_lookup_match"
"Bermuda","BMU",2024,"20260805",40,2024-09-30,1,NA,1,96,NA,FALSE,TRUE,"no_lookup_match"
"Bermuda","BMU",2025,"20260805",40,2025-09-29,0,0,0,44,1,TRUE,FALSE,"applied_mean"
"Bermuda","BMU",2026,"20260805",20,2026-05-11,1,NA,1,12,NA,FALSE,TRUE,"no_lookup_match"
"Bonaire, Saint Eustatius and Saba","BES",2024,"20260805",12,2024-03-18,207,NA,207,124,NA,FALSE,TRUE,"no_lookup_match"
"Cayman Islands","CYM",2024,"20260805",40,2024-09-30,8,NA,8,96,NA,FALSE,TRUE,"no_lookup_match"
"Cayman Islands","CYM",2025,"20260805",40,2025-09-29,0,0,0,44,1,TRUE,FALSE,"applied_mean"
"Cayman Islands","CYM",2026,"20260805",20,2026-05-11,0,0,0,12,1,TRUE,FALSE,"applied_mean"
"Curaçao","CUW",2024,"20260805",12,2024-03-18,262,NA,262,124,NA,FALSE,TRUE,"no_lookup_match"
"French Guiana","GUF",2024,"20260805",32,2024-08-05,16141,NA,16141,104,NA,FALSE,TRUE,"no_lookup_match"
"French Guiana","GUF",2025,"20260805",40,2025-09-29,279,NA,279,44,NA,FALSE,TRUE,"no_lookup_match"
"French Guiana","GUF",2026,"20260805",10,2026-03-02,4,4,4,22,1,TRUE,FALSE,"applied_mean"
"Grenada","GRD",2025,"20260805",40,2025-09-29,144,144,144,44,1,TRUE,FALSE,"applied_mean"
"Grenada","GRD",2026,"20260805",28,2026-07-06,96,96,96,4,1,TRUE,FALSE,"applied_mean"
"Grenada","GRD",2024,"20260805",40,2024-09-30,690,NA,690,96,NA,FALSE,TRUE,"no_lookup_match"
