"","country","iso3","Month","season_nMonth","nb_size","nb_mean","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion","Year","date","cases","source","Data_status","Predicted_total_seasonal_cases","cum_todate_cases_calendar","cum_todate_cases_season","percentile_most_recent","Country","Region"
"88","Bangladesh","BGD",7,6,1.39010414194714,264.142857142857,264.142857142857,347.571428571429,0.18569009405416,0.150753900060566,2025,2025-07-01,10684,"SEARO","Observed",57537,20980,25084,100,"Bangladesh","South Asia"
"89","Bangladesh","BGD",6,5,0.506768221947199,59.5714285714286,59.5714285714286,83.4285714285714,0.0349361939935937,0.0241106975949341,2024,2024-06-01,798,"SEARO","Observed",22842,3651,5780,100,"Bangladesh","South Asia"
"90","Bangladesh","BGD",9,8,1.15872486627772,530.285714285715,530.285714285714,1406.85714285714,0.747791668979122,0.267596835656161,2024,2024-09-01,18097,"SEARO","Observed",24201,30938,60198,100,"Bangladesh","South Asia"
"91","Bangladesh","BGD",1,12,91120.4346317151,17.1428571428572,17.1428571428571,2011.42857142857,1,0.00381687383249805,2024,2024-01-01,1055,"SEARO","Observed",1055,1055,147395,100,"Bangladesh","South Asia"
"92","Bangladesh","BGD",11,10,0.457909410136348,163.428571428572,163.428571428571,1950.71428571429,0.97939730654898,0.066148295274149,2025,2025-11-01,0,"SEARO","Observed",0,47342,136595,6.77029564831616,"Bangladesh","South Asia"
"93","Bangladesh","BGD",4,3,84786.5205921612,6.28571428571429,6.28571428571429,10.7142857142857,0.00528106826278577,0.00115424242762943,2025,2025-04-01,701,"SEARO","Observed",132738,2572,2565,100,"Bangladesh","South Asia"
"94","Bangladesh","BGD",3,2,0.208561713003045,3,3,4.42857142857143,0.00412682583515634,0.0012792367805303,2025,2025-03-01,336,"SEARO","Observed",81419,1871,1360,100,"Bangladesh","South Asia"
"95","Bangladesh","BGD",4,3,84786.5205921612,6.28571428571429,6.28571428571429,10.7142857142857,0.00528106826278577,0.00115424242762943,2024,2024-04-01,504,"SEARO","Observed",95435,2209,1864,100,"Bangladesh","South Asia"
"96","Bangladesh","BGD",2,1,45436.1616956747,1.42857142857143,1.42857142857143,1.42857142857143,0.00284758905462603,0.00284758905462603,2024,2024-02-01,339,"SEARO","Observed",119048,1394,339,100,"Bangladesh","South Asia"
"97","Barbados","BRB",6,3,2.50238668361179,80.3333333333332,80.3333333333333,208,0.130243839697852,0.0497638762579246,2025,2025-06-01,11,"PAHO","Observed",84,246,261,61.447407760405,"Barbados","Caribbean"
"98","Barbados","BRB",10,7,2.73809395534967,191,191,749,0.473182313657192,0.120501183650126,2024,2024-10-01,17,"PAHO","Observed",36,1106,347,2.86083208808781,"Barbados","Caribbean"
"99","Barbados","BRB",7,4,2.43504495734403,76.0000000000001,76,284,0.17829868033922,0.0480548406413678,2024,2024-07-01,11,"PAHO","Observed",62,1055,272,47.123654146927,"Barbados","Caribbean"
"100","Barbados","BRB",6,3,2.50238668361179,80.3333333333332,80.3333333333333,208,0.130243839697852,0.0497638762579246,2024,2024-06-01,5,"PAHO","Observed",38,1044,250,21.3716413692294,"Barbados","Caribbean"
"101","Barbados","BRB",11,8,3.04888237801577,142,142,891,0.564065193957084,0.0908828802998922,2025,2025-11-01,NA,NA,"Unobserved",NA,NA,NA,0.000768926509406832,"Barbados","Caribbean"
"102","Barbados","BRB",11,8,3.04888237801577,142,142,891,0.564065193957084,0.0908828802998922,2024,2024-11-01,11,"PAHO","Observed",20,1117,NA,1.08935404686124,"Barbados","Caribbean"
"103","Barbados","BRB",9,6,2.8687099875087,174,174,558,0.352681130007065,0.110426648549657,2024,2024-09-01,15,"PAHO","Observed",43,1089,329,4.74722814868059,"Barbados","Caribbean"
"104","Barbados","BRB",2,11,3.20144823173558,148.333333333333,148.333333333333,1381.66666666667,0.922706310847555,0.110988768152907,2024,2024-02-01,386,"PAHO","Observed",418,759,NA,99.1615736932167,"Barbados","Caribbean"
