"","country","iso3","Month","season_nMonth","nb_size","nb_mean","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion"
"444","Indonesia","IDN",9,12,6.20172813078957,5902.35714285713,5902.35714285714,117549.571428571,1,0.0540223267895052
"445","Jamaica","JAM",4,1,1.46154857546112,91.3333333333334,91.3333333333333,91.3333333333333,0.0314551713790821,0.0314551713790821
"446","Jamaica","JAM",5,2,1.41676895517171,111.666666666667,111.666666666667,203,0.0703229665368078,0.0388677951577257
"447","Jamaica","JAM",6,3,1.44653020753144,145,145,348,0.120827603972373,0.0505046374355657
"448","Jamaica","JAM",7,4,1.47040766220704,161.666666666666,161.666666666667,509.666666666667,0.176717665787261,0.0558900618148879
"449","Jamaica","JAM",8,5,1.31199648220325,134,134,643.666666666667,0.223394574078986,0.0466769082917247
"450","Jamaica","JAM",9,6,1.4540911693972,289.666666666667,289.666666666667,933.333333333333,0.323504322704062,0.100109748625076
"451","Jamaica","JAM",10,7,1.28752620843646,285,285,1218.33333333333,0.421046166795486,0.097541844091424
"452","Jamaica","JAM",11,8,1.31378453727439,336.666666666667,336.666666666667,1555,0.534895948417461,0.113849781621975
"453","Jamaica","JAM",12,9,1.25079731768863,550.333333333333,550.333333333333,2105.33333333333,0.721281503317507,0.186385554900046
"454","Jamaica","JAM",1,10,1.15011362179243,155,155,2260.33333333333,0.827246838139558,0.105965334822052
"455","Jamaica","JAM",2,11,1.04726511979697,156.333333333333,156.333333333333,2416.66666666667,0.935492747951809,0.108245909812251
"456","Jamaica","JAM",3,12,1.14305012309854,94.3333333333333,94.3333333333333,2511,1,0.064507252048191
"457","Kenya","KEN",4,1,0.541192640191793,11,11,11,0.019241510636782,0.019241510636782
"458","Kenya","KEN",5,2,0.29249649400234,12,12,23,0.0415076175956446,0.0222661069588626
"459","Kenya","KEN",6,3,0.925143183186414,171.6,171.6,194.6,0.262509771889221,0.221002154293576
"460","Kenya","KEN",7,4,619300.549807207,51.6,51.6,246.2,0.363555538127534,0.101045766238314
"461","Kenya","KEN",8,5,1.19741175191394,79.1999999999999,79.2,325.4,0.490831410605996,0.127275872478461
"462","Kenya","KEN",9,6,0.471355246838065,61.6,61.6,387,0.568988799937352,0.078157389331356
"463","Kenya","KEN",10,7,598337.328303369,42.6,42.6,429.6,0.626213013252676,0.0572242133153238
"464","Kenya","KEN",11,8,0.796351146813203,50.8,50.8,480.4,0.693423360531117,0.0672103472784411
"465","Kenya","KEN",12,9,0.720486850680955,18.4,18.4,498.8,0.732565251617817,0.0391418910867
"466","Kenya","KEN",1,10,1048440.12181575,66.6,66.6,565.4,0.852316240799535,0.119750989181718
"467","Kenya","KEN",2,11,562851.926843742,50,50,615.4,0.946925682263142,0.0946094414636074
"468","Kenya","KEN",3,12,363848.1004702,29.8,29.8,645.2,1,0.053074317736858
"469","Kiribati","KIR",4,1,0.275522184703855,10.8333333333333,10.8333333333333,10.8333333333333,0.0142597295506002,0.0142597295506002
"470","Kiribati","KIR",5,2,0.2891777568025,41.5,41.5,52.3333333333333,0.0651393518537855,0.0508796223031853
"471","Kiribati","KIR",6,3,274341.210120534,33.3333333333333,33.3333333333333,85.6666666666667,0.10992321907447,0.0447838672206841
"472","Kiribati","KIR",7,4,0.220696052881551,20.5,20.5,106.166666666667,0.134441429376449,0.0245182103019796
"473","Kiribati","KIR",8,5,0.136161222648536,21,21,127.166666666667,0.16486709700838,0.0304256676319313
"474","Kiribati","KIR",9,6,188125.706303785,18.5,18.5,145.666666666667,0.189772232790988,0.0249051357826079
"475","Kiribati","KIR",10,7,223289.277909959,21.8333333333333,21.8333333333333,167.5,0.222394740237319,0.032622507446331
"476","Kiribati","KIR",11,8,0.193343698783628,50.8333333333333,50.8333333333333,218.333333333333,0.29613666861623,0.0737419283789103
"477","Kiribati","KIR",12,9,368937.823015105,69.1666666666666,69.1666666666667,287.5,0.4399680183933,0.143831349777071
"478","Kiribati","KIR",1,10,1504724.24498986,87.4999999999999,87.5,375,0.72339321228623,0.28342519389293
"479","Kiribati","KIR",2,11,439694.223451178,49.8333333333334,49.8333333333333,424.833333333333,0.846074768612168,0.122681556325938
"480","Kiribati","KIR",3,12,0.325981181978803,60.0000000000001,60,484.833333333333,1,0.153925231387832
"481","Lao People's Democratic Republic","LAO",2,1,0.881419113728375,225,225,225,0.0189832018584565,0.0189832018584565
"482","Lao People's Democratic Republic","LAO",3,2,0.995247413794842,263.214285714286,263.214285714286,488.214285714286,0.0428640335784393,0.0238808317199829
"483","Lao People's Democratic Republic","LAO",4,3,0.873205230805374,392.642857142858,392.642857142857,880.857142857143,0.0689816426904489,0.0261176091120096
"484","Lao People's Democratic Republic","LAO",5,4,1.07090311092578,852,852,1732.85714285714,0.129167780765814,0.0601861380753647
"485","Lao People's Democratic Republic","LAO",6,5,0.882364748179051,1898.57142857143,1898.57142857143,3631.42857142857,0.240936623152336,0.111768842386523
"486","Lao People's Democratic Republic","LAO",7,6,0.771867464324805,3565.57142857144,3565.57142857143,7197,0.433111838957055,0.192175215804719
"487","Lao People's Democratic Republic","LAO",8,7,0.936427165766644,2867.57142857142,2867.57142857143,10064.5714285714,0.60708333985374,0.173971500896685
"488","Lao People's Democratic Republic","LAO",9,8,0.921966320638629,2396.49999999999,2396.5,12461.0714285714,0.751757889502555,0.144674549648815
"489","Lao People's Democratic Republic","LAO",10,9,1.05773418615231,1537.07142857143,1537.07142857143,13998.1428571429,0.857489218742924,0.105731329240369
"490","Lao People's Democratic Republic","LAO",11,10,1.34294399596326,804.642857142858,804.642857142857,14802.7857142857,0.919629433605457,0.062140214862533
"491","Lao People's Democratic Republic","LAO",12,11,1.50630155601167,471.857142857143,471.857142857143,15274.6428571429,0.967684809667674,0.0480553760622161
"492","Lao People's Democratic Republic","LAO",1,12,0.669436799335573,320.571428571429,320.571428571429,15595.2142857143,1,0.0323151903323264
"493","Malaysia","MYS",3,1,2.32500978237535,5798.46153846152,5798.46153846154,5798.46153846154,0.0783453247321883,0.0783453247321883
"494","Malaysia","MYS",4,2,3.30084333881376,4801.69230769231,4801.69230769231,10600.1538461538,0.147165428319974,0.0688201035877861
"495","Malaysia","MYS",5,3,2.95268938830928,5640.6923076923,5640.69230769231,16240.8461538462,0.224782259219913,0.0776168308999386
"496","Malaysia","MYS",6,4,2.77881305037173,6328.15384615384,6328.15384615385,22569,0.309431417312398,0.084649158092485
"497","Malaysia","MYS",7,5,2.46640047094789,7243.53846153847,7243.53846153846,29812.5384615385,0.404061611027813,0.0946301937154147
"498","Malaysia","MYS",8,6,2.26184354148832,6152.69230769231,6152.69230769231,35965.2307692308,0.483322355009599,0.0792607439817863
"499","Malaysia","MYS",9,7,2.9103780747416,5718.00000000001,5718,41683.2307692308,0.560061376370496,0.0767390213608968
"500","Malaysia","MYS",10,8,3.50112276117144,5579.3846153846,5579.38461538462,47262.6153846154,0.637330448250393,0.0772690718798975
"501","Malaysia","MYS",11,9,2.9354254351642,5638.6923076923,5638.69230769231,52901.3076923077,0.712987248962712,0.0756568007123188
"502","Malaysia","MYS",12,10,2.85874915550564,6299.6153846154,6299.61538461538,59200.9230769231,0.798256693683905,0.0852694447211923
"503","Malaysia","MYS",1,11,2.18377990195118,8600.30769230768,8600.30769230769,67801.2307692308,0.912092115085761,0.113835421401857
"504","Malaysia","MYS",2,12,2.1951293628338,6577.76923076923,6577.76923076923,74379,1,0.0879078849142386
"505","Maldives","MDV",1,1,2.35472347571828,152.5,152.5,152.5,0.0946078544417684,0.0946078544417684
"506","Maldives","MDV",2,2,1.97700479070584,98.8333333333332,98.8333333333333,251.333333333333,0.154572743002605,0.059964888560837
