iso3,country,region,first_date,last_date,n_months,n_observed,n_corrected,n_estimated,span_years,pct_estimated,n_complete_seasons,first_season,last_season,n_gap_months,total_cases,mean_monthly_cases,median_monthly_cases,max_monthly_cases,cv_monthly,zero_month_fraction,seasonal_concentration,top3_month_share,peak_month,peak_to_trough_ratio,seasonality_signal,endemicity,strata_provisional
VGB,Virgin Islands (Uk),Caribbean,2010-04-01,2026-07-01,160,153,4,3,16.249144421629023,0.01875,13,2010/2011,2025/2026,36,2077,12.981249999999985,7,151,1.7207476417582626,0.10625,0.10321807012974461,0.426332703671778,10,4.472972972972966,moderate,emerging,TRUE
KNA,Saint Kitts And Nevis,Caribbean,2013-04-01,2026-07-01,88,75,10,3,13.248459958932239,0.03409090909090909,7,2013/2014,2025/2026,72,900,10.227272727272732,4,164,2.3076968591063167,0.25,0.1303850910686,0.523094057125027,11,22.099999999999934,strong,emerging,TRUE
SXM,Sint Maarten,Caribbean,2010-04-01,2026-07-01,64,52,0,12,16.249144421629023,0.1875,5,2010/2011,2025/2026,132,631,9.859375,4,63,1.3347115798078306,0.15625,0.12503777340136787,0.479914029554516,11,14.1,strong,emerging,TRUE
CYM,Cayman Islands,Caribbean,2012-04-01,2026-07-01,103,92,9,2,14.247775496235455,0.019417475728155338,8,2012/2013,2025/2026,69,618,6,3,55,1.4676986862265695,0.2815533980582524,0.1436466146866549,0.595453946262265,10,14.199999999999996,strong,emerging,TRUE
PHL,Philippines,East & Southeast Asia,2010-04-01,2024-03-01,168,168,0,0,13.91649555099247,0,14,2010/2011,2023/2024,0,2605679,15509.994047619046,12000.5,81400,0.798561332461554,0,0.10218037650042588,0.43199823009483795,8,5.404249613729528,moderate,endemic,TRUE
VNM,Viet Nam,East & Southeast Asia,2010-03-01,2026-07-01,197,184,0,13,16.334017796030118,0.06598984771573604,16,2010/2011,2025/2026,0,2158360,10956.142131979697,7416,51913,0.9529051975267586,0,0.1037926192807312,0.398134237139698,10,4.980087983329478,moderate,endemic,TRUE
IDN,Indonesia,East & Southeast Asia,2010-10-01,2024-09-01,168,168,0,0,13.919233401779604,0,14,2010/2011,2023/2024,0,1645694,9795.797619047618,8079,32117,0.6548259581010379,0,0.09092018830158971,0.361478379020225,1,2.7164813089201734,weak,endemic,TRUE
THA,Thailand,East & Southeast Asia,2010-02-01,2026-07-01,198,197,0,1,16.410677618069816,0.005050505050505051,16,2010/2011,2025/2026,0,1364700,6892.424242424244,4778,33513,0.9308087506466272,0,0.10636018734027641,0.445232306410982,7,5.2482020174168795,moderate,endemic,TRUE
MYS,Malaysia,East & Southeast Asia,2010-02-01,2026-07-01,198,186,11,1,16.410677618069816,0.005050505050505051,16,2010/2011,2025/2026,0,1298492,6558.040404040404,6096,18462,0.5642744339107573,0,0.08487414183008643,0.2958601471365058,1,1.6992109055685496,weak,endemic,TRUE
KHM,Cambodia,East & Southeast Asia,2010-02-01,2026-07-01,198,186,11,1,16.410677618069816,0.005050505050505051,16,2010/2011,2025/2026,0,395879,1999.3888888888878,988,17584,1.3697136250900315,0.015151515151515152,0.11848897899646685,0.48337860981174496,7,11.848494403279206,moderate,endemic,TRUE
